           0  3.3456923E-03
           1  2.2233990E-03
           2  1.6824399E-03
           3  1.4234734E-03
           4  1.2802674E-03
           5  1.1946978E-03
           6  1.1404273E-03
           7  1.1043735E-03
           8  1.0795487E-03
           9  1.0618921E-03
          10  1.0489073E-03
          11  1.0392336E-03
          12  1.0317717E-03
          13  1.0259195E-03
          14  1.0213357E-03
          15  1.0176895E-03
          16  1.0147423E-03
          17  1.0123225E-03
          18  1.0103127E-03
          19  1.0086338E-03
          20  1.0072141E-03
          21  1.0060018E-03
          22  1.0049682E-03
          23  1.0040796E-03
          24  1.0033053E-03
          25  1.0026261E-03
